date,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24
2018-12-24,,24.2,23.875,23.875,23.875,23.875,23.875,23.875,23.875,23.875,23.875,23.875,23.875,23.875,23.875,23.875,23.875,23.875,23.875,23.875,23.875,23.875,23.875,23.875
2018-12-27,,23.46,23.15,23.15,23.15,23.15,23.15,23.15,23.15,23.15,23.15,23.15,23.15,23.15,23.15,23.15,23.15,23.15,23.15,23.15,23.15,23.15,23.15,23.15
2018-12-28,,22.9,22.675,21.85,21.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85
2018-12-31,,22.0,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8
2019-01-02,22.5,22.35,21.1,20.35,20.35,20.35,20.35,20.35,21.195,21.195,21.195,21.195,21.195,21.195,21.195,21.195,21.195,21.195,21.195,21.195,21.195,21.195,21.195,21.195
2019-01-03,22.175,21.925,20.95,20.95,20.95,20.95,20.95,20.95,21.15,21.15,21.15,21.15,21.15,21.15,21.15,21.15,21.15,21.15,21.15,21.15,21.15,21.15,21.15,21.15
2019-01-04,22.85,22.485,21.3,20.8,20.8,20.8,20.8,20.8,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5
2019-01-07,21.375,21.175,20.6,20.225,20.225,20.225,20.225,20.225,20.225,20.225,20.225,20.225,20.225,20.225,20.225,20.225,20.225,20.225,20.225,20.225,20.225,20.225,20.225,20.225
2019-01-08,22.225,21.95,21.1,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7,20.7
2019-01-09,21.625,21.305,20.65,20.275,20.275,20.275,20.275,20.275,20.275,20.275,20.275,20.275,20.275,20.275,20.275,20.275,20.275,20.275,20.275,20.275,20.275,20.275,20.275,20.275
2019-01-10,22.0,21.625,20.65,20.215,20.215,20.215,20.215,20.215,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1
